full_img,slide,is_egg
003_000,0,1
003_000,1,0
003_000,2,1
003_001,0,0
003_001,1,0
003_001,2,0
003_002,0,1
003_002,1,1
003_002,2,0
010_000,0,1
010_000,1,1
010_000,2,1
010_000,3,1
010_000,4,0
010_000,5,0
010_001,0,1
010_001,1,0
010_001,2,0
010_001,3,1
010_001,4,1
010_001,5,0
010_002,0,1
010_002,1,0
010_002,2,0
010_002,3,0
010_002,4,1
010_002,5,1
010_003,0,1
010_003,1,1
010_003,2,0
010_003,3,1
010_003,4,1
010_003,5,0
010_004,0,1
010_004,1,0
010_004,2,0
010_004,3,0
010_004,4,1
010_004,5,1
010_005,0,1
010_005,1,1
010_005,2,1
010_005,3,1
010_005,4,0
010_005,5,1
010_006,0,1
010_006,1,1
010_006,2,0
010_006,3,1
010_007,0,0
010_007,1,1
010_007,2,0
010_007,3,1
010_007,4,0
010_007,5,1
010_008,0,0
010_008,1,1
010_008,2,1
010_008,3,1
010_009,0,1
010_009,1,1
010_009,2,0
010_009,3,1
010_010,0,1
010_010,1,1
010_010,2,1
010_010,3,1
010_011,0,1
010_011,1,1
010_011,2,1
010_011,3,0
025_000,0,0
025_000,1,1
025_000,2,0
025_001,0,1
025_001,1,1
025_001,2,0
025_002,0,1
025_002,1,1
025_002,2,1
026_000,0,1
026_000,1,1
026_000,2,0
026_001,0,1
026_001,1,0
026_001,2,1
026_002,0,0
026_002,1,1
026_002,2,0
026_003,0,0
026_003,1,0
026_003,2,1
026_004,0,0
026_004,1,1
026_004,2,1
026_005,0,1
